Data,Horário,Equipe 1,Equipe 2,Placar,Categoria
06/04/2025,09:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,AABB LIMEIRA,59 X 39,SUB 13 Masculino
05/04/2025,13:00,BAURU BASKET,SÃO BERNARDO BASQUETE,46 X 51,SUB 13 Masculino
05/04/2025,11:00,AMAB / GIRAFINHAS / MAUA,JACAREI BASKETBALL,50 X 46,SUB 13 Masculino
05/04/2025,11:00,SANTO ANDRE / APABA,C.A. PAULISTANO,27 X 46,SUB 13 Masculino
05/04/2025,11:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,E.C. PINHEIROS,61 X 50,SUB 13 Masculino
05/04/2025,09:00,A.A. MOGI DAS CRUZES,INSTITUTO SUPERAÇÃO,121 X 19,SUB 13 Masculino
30/03/2025,12:00,DOUBLE VOTORANTIM BASKET,A.A. MOGI DAS CRUZES,55 X 90,SUB 13 Masculino
30/03/2025,11:00,E.C. PINHEIROS,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,37 X 74,SUB 13 Masculino
30/03/2025,11:00,C.A. PAULISTANO,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,44 X 71,SUB 13 Masculino
30/03/2025,11:00,SÃO PAULO F.C.,JACAREI BASKETBALL,89 X 18,SUB 13 Masculino
30/03/2025,11:00,S.E. PALMEIRAS,SANTO ANDRE / APABA,63 X 34,SUB 13 Masculino
30/03/2025,11:00,F.R. ALPHAVILLE,INTERNACIONAL DE REGATAS,71 X 53,SUB 13 Masculino
30/03/2025,11:00,AABB LIMEIRA,INSTITUTO SUPERAÇÃO,91 X 29,SUB 13 Masculino
29/03/2025,15:00,CLUBE ESPERIA,S.C. CORINTHIANS PTA.,19 X 70,SUB 13 Masculino
29/03/2025,13:00,CIRCULO MILITAR S.P.,INTERNACIONAL DE REGATAS,45 X 37,SUB 13 Masculino
23/03/2025,13:00,BAURU BASKET,CLUBE ESPERIA,66 X 34,SUB 13 Masculino
23/03/2025,11:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,AMAB / GIRAFINHAS / MAUA,96 X 19,SUB 13 Masculino
23/03/2025,11:00,SÃO PAULO F.C.,S.E. PALMEIRAS,79 X 25,SUB 13 Masculino
23/03/2025,11:00,INTERNACIONAL DE REGATAS,S.C. CORINTHIANS PTA.,30 X 70,SUB 13 Masculino
23/03/2025,11:00,SÃO BERNARDO BASQUETE,E.C. PINHEIROS,48 X 56,SUB 13 Masculino
23/03/2025,09:00,INSTITUTO SUPERAÇÃO,C.A. PAULISTANO,44 X 57,SUB 13 Masculino
22/03/2025,12:00,DOUBLE VOTORANTIM BASKET,JACAREI BASKETBALL,86 X 44,SUB 13 Masculino
22/03/2025,11:00,SANTO ANDRE / APABA,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,42 X 80,SUB 13 Masculino
22/03/2025,11:00,C.A. PAULISTANO,INTERNACIONAL DE REGATAS,42 X 49,SUB 13 Masculino
19/03/2025,20:30,F.R. ALPHAVILLE,S.C. CORINTHIANS PTA.,20 X 64,SUB 13 Masculino
16/03/2025,11:00,S.E. PALMEIRAS,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,47 X 56,SUB 13 Masculino
16/03/2025,11:00,SÃO PAULO F.C.,SÃO BERNARDO BASQUETE,70 X 36,SUB 13 Masculino
16/03/2025,11:00,F.R. ALPHAVILLE,CIRCULO MILITAR S.P.,53 X 62,SUB 13 Masculino
15/03/2025,15:00,E.C. PINHEIROS,JACAREI BASKETBALL,94 X 33,SUB 13 Masculino
15/03/2025,11:00,AMAB / GIRAFINHAS / MAUA,S.C. CORINTHIANS PTA.,16 X 118,SUB 13 Masculino
15/03/2025,11:00,SANTO ANDRE / APABA,A.A. MOGI DAS CRUZES,31 X 123,SUB 13 Masculino
15/03/2025,11:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,DOUBLE VOTORANTIM BASKET,69 X 59,SUB 13 Masculino
15/03/2025,11:00,INTERNACIONAL DE REGATAS,AABB LIMEIRA,55 X 59,SUB 13 Masculino
09/03/2025,11:00,SÃO BERNARDO BASQUETE,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,50 X 54,SUB 13 Masculino
09/03/2025,11:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,SANTO ANDRE / APABA,82 X 23,SUB 13 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
,,,,,SUB 12 Masculino
